PA Certification #,Total NPC MW DC,Total NPC MW AC,Fuel Types at Facility,County,State,Zip,Year
PA-4060569-SUN-I,0.00738,0.0057,SUN,Beaver,PA,15061,2025
PA-4060570-SUN-I,0.00943,0.0076,SUN,Adams,PA,17350,2025
PA-4060571-SUN-I,0.00451,0.0038,SUN,Lawrence,PA,16105,2025
PA-4060572-SUN-I,0.0123,0.01,SUN,Chester,PA,19390,2025
PA-4060573-SUN-I,0.014,0.01155,SUN,Delaware,PA,19014,2025
PA-4060574-SUN-I,0.005395,0.0038,SUN,Bucks,PA,19053,2025
PA-4060575-SUN-I,0.00574,0.006,SUN,Lancaster,PA,17603,2025
PA-4060576-SUN-I,0.0123,0.01,SUN,York,PA,17404,2025
PA-4060577-SUN-I,0.0072,0.00522,SUN,Beaver,PA,15001,2025
PA-4060578-SUN-I,0.01118,0.01,SUN,Berks,PA,17067,2025
PA-4060579-SUN-I,0.00902,0.007678,SUN,Luzerne,PA,18612,2025
PA-4060580-SUN-I,0.02534,0.01717,SUN,Mercer,PA,16114,2025
PA-4060581-SUN-I,0.00246,0.0038,SUN,York,PA,17019,2025
PA-4060582-SUN-I,0.00451,0.0038,SUN,York,PA,17364,2025
PA-4060583-SUN-I,0.0048,0.0036,SUN,Bucks,PA,19055,2025
PA-4060584-SUN-I,0.01107,0.01,SUN,Montgomery,PA,19464,2025
PA-4060585-SUN-I,0.03402,0.0266,SUN,Lancaster,PA,17545,2025
PA-4060586-SUN-I,0.01161,0.01,SUN,Lancaster,PA,17522,2025
PA-4060587-SUN-I,0.00504,0.00456,SUN,Erie,PA,16506,2025
PA-4060588-SUN-I,0.0063,0.00549,SUN,Allegheny,PA,15147,2025
PA-4060589-SUN-I,0.0082,0.0076,SUN,Allegheny,PA,15116,2025
PA-4060590-SUN-I,0.00415,0.0024,SUN,Allegheny,PA,15218,2025
PA-4060591-SUN-I,0.0082,0.0076,SUN,York,PA,17365,2025
PA-4060592-SUN-I,0.01215,0.0115,SUN,Chester,PA,19425,2025
PA-4060593-SUN-I,0.01134,0.01,SUN,Bedford,PA,15521,2025
PA-4060594-SUN-I,0.01394,0.0114,SUN,Franklin,PA,17236,2025
PA-4060595-SUN-I,0.00462,0.004026,SUN,Lehigh,PA,18103,2025
PA-4060596-SUN-I,0.0123,0.01,SUN,Lancaster,PA,17543,2025
PA-4060597-SUN-I,0.01722,0.0136,SUN,Schuylkill,PA,17980,2025
PA-4060598-SUN-I,0.0041,0.0038,SUN,Bucks,PA,19020,2025
PA-4060599-SUN-I,0.01927,0.0152,SUN,Mifflin,PA,17099,2025
PA-4060600-SUN-I,0.02268,0.0176,SUN,Bucks,PA,19053,2025
PA-4060601-SUN-I,0.0076,0.00551,SUN,Berks,PA,19512,2025
PA-4060602-SUN-I,0.0128,0.00928,SUN,Lehigh,PA,18051,2025
PA-4060603-SUN-I,0.00602,0.00406,SUN,Dauphin,PA,17036,2025
PA-4060604-SUN-I,0.06435,0.0432,SUN,Lancaster,PA,17569,2025
PA-4060605-SUN-I,0.00533,0.006,SUN,Northampton,PA,18017,2025
PA-4060606-SUN-I,0.00574,0.006,SUN,Monroe,PA,18301,2025
PA-4060607-SUN-I,0.00492,0.00348,SUN,Delaware,PA,19061,2025
PA-4060608-SUN-I,0.00574,0.006,SUN,Berks,PA,19606,2025
PA-4060609-SUN-I,0.00873,0.006282,SUN,Bucks,PA,19067,2025
PA-4060610-SUN-I,0.028045,0.0214,SUN,Adams,PA,17350,2025
PA-4060611-SUN-I,0.88,0.48,SUN,Lancaster,PA,17543,2025
PA-4060612-SUN-I,0.0064,0.005,SUN,Philadelphia,PA,19152,2025
PA-4060613-SUN-I,0.0048,0.00348,SUN,Lackawanna,PA,18403,2025
PA-4060614-SUN-I,0.0136,0.00928,SUN,Bucks,PA,18972,2025
PA-4060615-SUN-I,0.01763,0.0138,SUN,Lebanon,PA,17046,2025
PA-4060616-SUN-I,0.01394,0.0114,SUN,Cumberland,PA,17015,2025
PA-4060617-SUN-I,0.5577,0.44,SUN,York,PA,17402,2025
PA-4060618-SUN-I,0.006,0.00435,SUN,Dauphin,PA,17113,2025
PA-4060619-SUN-I,0.031995,0.0244,SUN,Schuylkill,PA,17963,2025
PA-4060620-SUN-I,0.0112,0.009772,SUN,Sullivan,PA,18614,2025
PA-4060621-SUN-I,0.02478,0.0228,SUN,Luzerne,PA,18655,2025
PA-4060502-SUN-I,0.0123,0.01,SUN,Chester,PA,19365,2025
PA-4060503-SUN-I,0.02132,0.0176,SUN,Franklin,PA,17202,2025
PA-4060504-SUN-I,0.00779,0.006,SUN,Northampton,PA,18020,2025
PA-4060505-SUN-I,0.00664,0.005,SUN,Allegheny,PA,15101,2025
PA-4060506-SUN-I,0.01066,0.0076,SUN,Westmoreland,PA,15944,2025
PA-4060507-SUN-I,0.00765,0.00585,SUN,Schuylkill,PA,17960,2025
PA-4060508-SUN-I,0.0082,0.0058,SUN,Washington,PA,15301,2025
PA-4060509-SUN-I,0.00369,0.0038,SUN,Dauphin,PA,17111,2025
PA-4060510-SUN-I,0.01428,0.01292,SUN,Lawrence,PA,16157,2025
PA-4060511-SUN-I,0.01104,0.006,SUN,Carbon,PA,18255,2025
PA-4060512-SUN-I,0.00574,0.006,SUN,York,PA,17019,2025
PA-4060513-SUN-I,0.00574,0.006,SUN,York,PA,17313,2025
PA-4060514-SUN-I,0.00533,0.0057,SUN,Berks,PA,19512,2025
PA-4060515-SUN-I,0.00567,0.005,SUN,Berks,PA,19605,2025
PA-4060516-SUN-I,0.01032,0.01,SUN,Lancaster,PA,17603,2025
PA-4060517-SUN-I,0.01148,0.01,SUN,Cumberland,PA,17055,2025
PA-4060518-SUN-I,0.0132,0.010725,SUN,Lehigh,PA,18011,2025
